date,observation_hour,observation_minute,location,temperature,humidity,wind_speed,weather_condition,flower_species,nectar_production,pollinator_species,pollinator_group,visit_count,avg_body_mass_g,avg_wing_span_mm
2024-06-28,9,20,Plot C,33,36,4,Sunny,Coneflower,0.7,Carpenter Bee,Large Bee,17,0.42,36
2024-06-28,10,35,Plot D,35,32,3,Sunny,Lavender,0.9,Honeybee,Small Bee,27,0.12,18
2024-06-28,11,50,Plot A,37,28,5,Sunny,Sunflower,1.1,Bumblebee,Medium Bee,37,0.31,28
2024-06-28,13,15,Plot B,39,24,6,Partly Cloudy,Coneflower,0.8,Carpenter Bee,Large Bee,33,0.46,37
2024-06-28,14,30,Plot C,41,20,7,Sunny,Lavender,0.7,Honeybee,Small Bee,24,0.11,17
2024-06-28,15,45,Plot D,38,26,4,Cloudy,Sunflower,0.9,Bumblebee,Medium Bee,20,0.27,25
2024-06-28,16,20,Plot A,36,30,3,Partly Cloudy,Coneflower,0.6,Carpenter Bee,Large Bee,18,0.44,35
2024-06-29,8,35,Plot A,32,37,3,Sunny,Lavender,0.8,Honeybee,Small Bee,24,0.12,18
2024-06-29,9,50,Plot B,34,33,2,Sunny,Sunflower,1.0,Bumblebee,Medium Bee,21,0.28,26
2024-06-29,10,25,Plot C,36,29,4,Partly Cloudy,Coneflower,0.9,Carpenter Bee,Large Bee,19,0.47,38
2024-06-29,11,40,Plot D,38,25,3,Sunny,Lavender,0.7,Honeybee,Small Bee,29,0.11,17
2024-06-29,13,55,Plot A,40,21,5,Sunny,Sunflower,1.1,Bumblebee,Medium Bee,38,0.30,27
2024-06-29,14,20,Plot B,42,17,6,Partly Cloudy,Coneflower,0.8,Carpenter Bee,Large Bee,34,0.49,39
2024-06-29,15,35,Plot C,39,23,4,Cloudy,Lavender,0.6,Honeybee,Small Bee,23,0.13,19
2024-06-29,16,50,Plot D,37,27,3,Partly Cloudy,Sunflower,0.9,Bumblebee,Medium Bee,20,0.26,24
2024-06-30,7,40,Plot A,30,42,2,Cloudy,Lavender,0.5,Honeybee,Small Bee,20,0.10,16
2024-06-30,8,55,Plot B,32,38,3,Partly Cloudy,Sunflower,0.8,Bumblebee,Medium Bee,23,0.29,27
2024-06-30,9,30,Plot C,34,34,4,Sunny,Coneflower,0.7,Carpenter Bee,Large Bee,18,0.42,36
2024-06-30,10,45,Plot D,36,30,3,Sunny,Lavender,0.9,Honeybee,Small Bee,28,0.12,18
2024-06-30,11,20,Plot A,38,26,5,Sunny,Sunflower,1.1,Bumblebee,Medium Bee,39,0.31,28
2024-06-30,13,35,Plot B,40,22,6,Partly Cloudy,Coneflower,0.8,Carpenter Bee,Large Bee,35,0.46,37
2024-06-30,14,50,Plot C,42,18,7,Sunny,Lavender,0.7,Honeybee,Small Bee,25,0.11,17
2024-06-30,15,15,Plot D,39,24,4,Cloudy,Sunflower,0.9,Bumblebee,Medium Bee,21,0.27,25
2024-06-30,16,30,Plot A,37,28,3,Partly Cloudy,Coneflower,0.6,Carpenter Bee,Large Bee,19,0.44,35
